SampleName	SampleID	AssemblyGroup	FastqFile
HN004	HN004_S4_L002	HN004	HN004_S4_L002
HN007	HN007_S7_L002	HN007	HN007_S7_L002
HN008	HN008_S8_L002	HN008	HN008_S8_L002
HN009	HN009_S9_L002	HN009	HN009_S9_L002
HN012	HN012_S12_L002	HN012	HN012_S12_L002
HN013	HN013_S13_L002	HN013	HN013_S13_L002
HN014	HN014_S14_L002	HN014	HN014_S14_L002
HN019	HN019_S19_L002	HN019	HN019_S19_L002
HN022	HN022_S22_L002	HN022	HN022_S22_L002
HN023	HN023_S23_L002	HN023	HN023_S23_L002
HN024	HN024_S24_L002	HN024	HN024_S24_L002
HN025	HN025_S25_L002	HN025	HN025_S25_L002
HN027	HN027_S27_L002	HN027	HN027_S27_L002
HN029	HN029_S29_L002	HN029	HN029_S29_L002
HN030	HN030_S30_L002	HN030	HN030_S30_L002
HN031	HN031_S31_L002	HN031	HN031_S31_L002
HN033	HN033_S33_L002	HN033	HN033_S33_L002
HN034	HN034_S34_L002	HN034	HN034_S34_L002
HN035	HN035_S35_L002	HN035	HN035_S35_L002
HN036	HN036_S36_L002	HN036	HN036_S36_L002
HN040	HN040_S40_L002	HN040	HN040_S40_L002
HN043	HN043_S43_L002	HN043	HN043_S43_L002
